token_idx,layer_id,expert_id,source
3,21,103,SSD
3,21,207,RAM
3,22,122,RAM
3,22,116,SSD
3,22,205,SSD
3,22,20,SSD
3,22,19,SSD
3,22,146,SSD
3,22,137,SSD
3,22,194,RAM
3,23,141,SSD
3,23,14,RAM
3,23,56,RAM
3,23,71,SSD
3,23,134,SSD
3,23,37,SSD
3,23,107,RAM
3,23,174,SSD
3,24,50,SSD
3,24,9,SSD
3,24,1,RAM
3,24,2,SSD
3,24,97,SSD
3,24,42,SSD
3,24,11,SSD
3,24,20,SSD
3,25,174,RAM
3,25,0,SSD
3,25,126,SSD
3,25,13,RAM
3,25,219,SSD
3,25,137,RAM
3,25,203,RAM
3,25,228,SSD
3,26,138,RAM
3,26,67,RAM
3,26,252,RAM
3,26,196,SSD
3,26,78,SSD
3,26,213,SSD
3,26,17,SSD
3,26,189,SSD
3,27,12,SSD
3,27,206,RAM
3,27,26,SSD
3,27,245,SSD
3,27,33,SSD
3,27,35,SSD
3,27,55,SSD
3,27,80,RAM
3,28,59,SSD
3,28,224,SSD
3,28,53,SSD
3,28,130,SSD
3,28,234,SSD
3,28,114,SSD
3,28,102,SSD
3,28,165,RAM
3,29,158,RAM
3,29,164,SSD
3,29,170,SSD
3,29,214,SSD
3,29,115,RAM
3,29,69,SSD
3,29,60,RAM
3,29,35,RAM
3,30,192,RAM
3,30,116,SSD
3,30,94,RAM
3,30,52,RAM
3,30,117,RAM
3,30,13,RAM
3,30,165,SSD
3,30,191,SSD
3,31,137,RAM
3,31,229,RAM
3,31,14,RAM
3,31,35,RAM
3,31,47,SSD
3,31,247,SSD
3,31,146,SSD
3,31,33,RAM
3,32,123,SSD
3,32,19,RAM
3,32,18,RAM
3,32,120,SSD
3,32,48,SSD
3,32,101,RAM
3,32,151,RAM
3,32,22,SSD
3,33,234,SSD
3,33,181,SSD
3,33,49,RAM
3,33,74,RAM
3,33,81,RAM
3,33,107,SSD
3,33,47,SSD
3,33,253,RAM
3,34,175,RAM
3,34,48,SSD
3,34,240,RAM
3,34,64,SSD
3,34,166,SSD
3,34,5,SSD
3,34,56,SSD
3,34,220,SSD
3,35,94,RAM
3,35,167,RAM
3,35,97,RAM
3,35,85,RAM
3,35,2,RAM
3,35,5,RAM
3,35,114,RAM
3,35,9,SSD
3,36,158,RAM
3,36,246,RAM
3,36,152,SSD
3,36,195,RAM
3,36,67,RAM
3,36,142,RAM
3,36,202,SSD
3,36,118,RAM
3,37,64,RAM
3,37,58,RAM
3,37,43,RAM
3,37,161,RAM
3,37,60,RAM
3,37,135,RAM
3,37,55,RAM
3,37,67,RAM
3,38,92,RAM
3,38,201,RAM
3,38,242,SSD
3,38,163,RAM
3,38,88,RAM
3,38,30,RAM
3,38,234,RAM
3,38,209,RAM
3,39,189,RAM
3,39,248,RAM
3,39,1,RAM
3,39,92,RAM
3,39,246,RAM
3,39,2,RAM
3,39,219,SSD
3,39,215,RAM
4,0,124,SSD
4,0,144,SSD
4,0,234,SSD
4,0,188,SSD
4,0,62,SSD
4,0,92,SSD
4,0,231,RAM
4,0,76,SSD
4,1,123,SSD
4,1,43,SSD
4,1,198,SSD
4,1,232,SSD
4,1,141,SSD
4,1,29,SSD
4,1,133,SSD
4,1,66,SSD
4,2,249,SSD
4,2,110,SSD
4,2,92,SSD
4,2,158,RAM
4,2,150,SSD
4,2,164,SSD
4,2,40,SSD
4,2,23,SSD
4,3,188,SSD
4,3,228,RAM
4,3,116,SSD
4,3,191,SSD
4,3,202,RAM
4,3,39,RAM
4,3,173,SSD
4,3,155,SSD
4,4,154,RAM
4,4,94,SSD
4,4,71,SSD
4,4,164,SSD
4,4,12,SSD
4,4,121,RAM
4,4,160,RAM
4,4,152,SSD
4,5,81,SSD
4,5,153,RAM
4,5,198,RAM
4,5,151,RAM
4,5,120,RAM
4,5,98,SSD
4,5,52,RAM
4,5,170,SSD
4,6,156,RAM
4,6,49,RAM
4,6,57,RAM
4,6,102,RAM
4,6,79,RAM
4,6,196,RAM
4,6,8,SSD
4,6,143,RAM
4,7,199,RAM
4,7,132,RAM
4,7,24,RAM
4,7,76,RAM
4,7,185,RAM
4,7,108,SSD
4,7,223,RAM
4,7,35,RAM
4,8,56,RAM
4,8,224,RAM
4,8,41,RAM
4,8,151,RAM
4,8,6,SSD
4,8,182,SSD
4,8,107,RAM
4,8,206,RAM
4,9,44,RAM
4,9,166,RAM
4,9,243,RAM
4,9,61,RAM
4,9,96,SSD
4,9,108,SSD
4,9,8,RAM
4,9,207,SSD
4,10,122,RAM
4,10,234,RAM
4,10,9,SSD
4,10,171,RAM
4,10,8,SSD
4,10,63,RAM
4,10,205,RAM
4,10,232,SSD
4,11,14,RAM
4,11,111,RAM
4,11,116,SSD
4,11,114,SSD
4,11,134,RAM
4,11,174,SSD
4,11,204,RAM
4,11,153,SSD
4,12,208,RAM
4,12,9,RAM
4,12,3,RAM
4,12,42,RAM
4,12,116,RAM
4,12,39,RAM
4,12,2,RAM
4,12,139,SSD
4,13,174,RAM
4,13,13,RAM
4,13,219,SSD
4,13,199,RAM
4,13,47,RAM
4,13,228,RAM
4,13,40,RAM
4,13,95,SSD
4,14,52,RAM
4,14,138,RAM
4,14,189,RAM
4,14,67,RAM
