token_idx,layer_id,event,vram_mb,ram_mb
4,30,Before Layer 30,5449.9296875,9000.92578125
4,30,After Layer 30,5449.9541015625,9004.08984375
4,31,Before Layer 31,5449.9296875,9004.08984375
4,31,After Layer 31,5449.9560546875,9004.71875
4,32,Before Layer 32,5449.931640625,9004.71875
4,32,After Layer 32,5449.9560546875,9008.25
4,33,Before Layer 33,5449.931640625,9008.25
4,33,After Layer 33,5449.9560546875,9011.5078125
4,34,Before Layer 34,5449.931640625,9011.5078125
4,34,After Layer 34,5449.9560546875,9014.640625
4,35,Before Layer 35,5449.931640625,9014.64453125
4,35,After Layer 35,5449.9580078125,9014.78515625
4,36,Before Layer 36,5449.93359375,9014.78515625
4,36,After Layer 36,5449.9580078125,9014.8046875
4,37,Before Layer 37,5449.93359375,9014.80859375
4,37,After Layer 37,5449.9580078125,9018.06640625
4,38,Before Layer 38,5449.93359375,9018.06640625
4,38,After Layer 38,5449.9580078125,9021.20703125
4,39,Before Layer 39,5449.93359375,9021.20703125
4,39,After Layer 39,5449.9599609375,9027.40234375
5,0,Before Layer 0,5449.935546875,9027.4921875
5,0,After Layer 0,5449.9599609375,9042.4296875
5,1,Before Layer 1,5449.935546875,9042.4296875
5,1,After Layer 1,5449.9599609375,8963.828125
5,2,Before Layer 2,5449.935546875,8963.828125
5,2,After Layer 2,5449.9599609375,8978.3359375
5,3,Before Layer 3,5449.935546875,8978.3359375
5,3,After Layer 3,5449.9619140625,8993.5234375
5,4,Before Layer 4,5449.9375,8993.5234375
5,4,After Layer 4,5449.9619140625,9007.26953125
5,5,Before Layer 5,5449.9375,9007.26953125
5,5,After Layer 5,5449.9619140625,8998.10546875
5,6,Before Layer 6,5449.9375,8997.65625
5,6,After Layer 6,5449.9619140625,8970.44140625
5,7,Before Layer 7,5449.9375,8970.0625
5,7,After Layer 7,5449.9638671875,8967.05859375
5,8,Before Layer 8,5449.939453125,8967.05859375
5,8,After Layer 8,5449.9638671875,8976.3671875
5,9,Before Layer 9,5449.939453125,8976.3671875
5,9,After Layer 9,5449.9638671875,8965.765625
5,10,Before Layer 10,5449.939453125,8965.0546875
5,10,After Layer 10,5449.9638671875,8957.27734375
5,11,Before Layer 11,5449.939453125,8957.27734375
5,11,After Layer 11,5449.9658203125,8960.3046875
5,12,Before Layer 12,5449.94140625,8960.3046875
5,12,After Layer 12,5449.9658203125,8962.08984375
5,13,Before Layer 13,5449.94140625,8962.09375
5,13,After Layer 13,5449.9658203125,8963.796875
5,14,Before Layer 14,5449.94140625,8963.796875
5,14,After Layer 14,5449.9658203125,8964.5546875
5,15,Before Layer 15,5449.94140625,8964.5546875
5,15,After Layer 15,5449.9677734375,8966.80859375
5,16,Before Layer 16,5449.943359375,8966.80859375
5,16,After Layer 16,5449.9677734375,8971.08203125
5,17,Before Layer 17,5449.943359375,8971.08203125
